name,ra,dec,field,epoch,sbid,dateobs,primary_field
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,1,9669,2019-08-28 04:04:34.932,VAST_1351+00A
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,2,10337,2019-10-29 23:18:11.037,VAST_1351+00A
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,5x,11148,2020-01-10 22:00:20.515,VAST_1351+00A
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,8,11584,2020-01-25 21:25:25.682,VAST_1351+00A
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,9,11615,2020-01-26 21:21:41.180,VAST_1351+00A
1AXG J134412+0016,206.058966,0.278384,VAST_1351+00A,12,15687,2020-08-29 06:08:31.249,VAST_1351+00A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,1,9668,2019-08-27 18:52:00.556,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,3x,10335,2019-10-29 13:39:33.996,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,2,10342,2019-10-30 10:11:56.913,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,5x,11169,2020-01-11 05:40:11.007,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,6x,11257,2020-01-12 05:36:03.834,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,8,11429,2020-01-18 05:00:37.814,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,9,11501,2020-01-19 04:56:28.318,VAST_2118-06A
PSR J2129-0429,322.43871,-4.48664,VAST_2118-06A,12,15711,2020-08-29 13:35:35.338,VAST_2118-06A
SN 2012dy,319.71125,-57.64514,VAST_2131-56A,1,9673,2019-08-28 14:25:27.516,VAST_2131-56A
SN 2012dy,319.71125,-57.64514,VAST_2131-56A,2,10338,2019-10-30 05:04:03.625,VAST_2131-56A
SN 2012dy,319.71125,-57.64514,VAST_2131-56A,8,11686,2020-02-01 04:15:47.663,VAST_2131-56A
SN 2012dy,319.71125,-57.64514,VAST_2131-56A,9,11708,2020-02-02 04:11:33.302,VAST_2131-56A
SN 2012dy,319.71125,-57.64514,VAST_2131-56A,12,15769,2020-08-30 13:48:36.118,VAST_2131-56A
